dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,channel,n_pairs,n_reach,frac_of_total_pct,reach_frac_of_total_pct,reach_pct,pt_median_MeV,pt_mean_MeV,pt_p90_MeV,pt_p99_MeV,pt_max_MeV,pt_median_reach_MeV,E_median_GeV,E_mean_GeV,theta_median_mrad,frac_pt_gt_20MeV
nominal,20.0,143455,512,512,25,100000,BW,1160,7,2.459294436906377,16.666666666666668,0.603448275862069,1.2899866708847019,4.272950030405158,12.23080034272376,39.2021405271211,88.60012003856377,24.10753948976066,0.0207106,0.5303531636534483,53.79269815442722,4.827586206896552
nominal,20.0,143455,512,512,25,100000,BH,26822,17,56.8648236092266,40.476190476190474,0.06338080680038774,3.161240212045997,7.574685938167729,22.065523376108665,43.75327208031988,114.35650450978645,16.214093133666147,0.244119,1.533587303660167,11.228133900216386,11.960331071508463
nominal,20.0,143455,512,512,25,100000,LL,19186,18,40.67588195386703,42.857142857142854,0.09381840925674971,1.185423700827824,4.676695846155135,13.463559326850556,44.71145961238113,94.84172772504203,13.752877654044358,0.0163663,0.8507612644986449,58.434739448874005,6.155530074012301
nominal,20.0,143455,512,512,25,100000,ALL,47168,42,100.0,100.0,0.08904341926729986,2.019670658010347,6.314703501804979,19.270624117478814,43.986857911078886,114.35650450978645,14.260359155586814,0.08377965,1.2311693086262296,20.50083378172612,9.423761872455902
nominal,20.0,145992,512,512,25,100000,BW,1276,3,2.647742363877822,6.666666666666667,0.23510971786833856,1.287964086539313,3.9883308324811093,11.496055993823607,31.17234861682195,71.55963727280236,10.849056797110345,0.0169763,0.4432898379177116,50.94694449185333,3.918495297805643
nominal,20.0,145992,512,512,25,100000,BH,27462,15,56.98456175298805,33.333333333333336,0.05462093074065982,3.158793634715248,7.555403344199415,21.77210470495437,43.47464270437624,86.1877128984414,14.046088557945867,0.25351650000000003,1.5316320734912243,10.822212524924861,11.696161969266623
nominal,20.0,145992,512,512,25,100000,LL,19454,27,40.36769588313413,60.0,0.1387889380076077,1.1811451761853455,4.759192270334833,13.954177661232645,44.19184531826763,125.04481691101196,19.049679391200954,0.01738755,0.864273591481238,57.25140543761881,6.235221548267708
nominal,20.0,145992,512,512,25,100000,ALL,48192,45,100.0,100.0,0.09337649402390438,2.0562921068099764,6.332190471608236,19.147086368569497,43.58083119848883,125.04481691101196,17.635514698080748,0.08758774999999999,1.2334183325878778,20.072900637424578,9.285773572377158
nominal,20.0,153768,512,512,25,100000,BW,1248,5,2.671690357938003,11.363636363636363,0.40064102564102566,1.600408929493397,4.553406291714874,12.4199503081525,36.453223913388186,66.37117657108473,18.0777985199189,0.0306207,0.680920270286859,42.72992562719165,5.048076923076923
nominal,20.0,153768,512,512,25,100000,BH,26542,25,56.820517211851346,56.81818181818182,0.09419033983874614,3.172420000603077,7.6226637084780595,22.3691577967303,43.981776990984606,83.90484332559122,13.209550506743739,0.257456,1.555157042040728,10.804626541225097,12.127948157636952
nominal,20.0,153768,512,512,25,100000,LL,18922,14,40.50779243021065,31.818181818181817,0.07398795053377022,1.1840890786130294,4.683641556881589,13.628282734741587,44.013101566286046,85.32848536584402,15.60594183240561,0.0161659,0.8030022966859212,60.20457997987716,6.056442236550048
nominal,20.0,153768,512,512,25,100000,ALL,46712,44,100.0,100.0,0.0941942113375578,2.0598054928189917,6.35012966136749,19.317703104555505,43.94443516248486,85.32848536584402,15.21072024442021,0.085085,1.2271188595019267,20.784991847092975,9.479362904606953
nominal,20.0,159302,512,512,25,100000,BW,1252,4,2.6238578254673484,8.695652173913043,0.3194888178913738,1.4670408270126905,4.387060358731832,12.679383607675023,33.96732413132089,52.81025269090642,12.172274690096481,0.0298446,0.5568971502515974,43.9667483940903,4.472843450479233
nominal,20.0,159302,512,512,25,100000,BH,26958,19,56.496772571045355,41.30434782608695,0.0704800059351584,3.151906823573417,7.6031257782079935,21.8081791610335,44.68132645813992,155.89451023348107,20.556451206780253,0.2524515,1.522366035654574,11.079408352058714,11.714518881222642
nominal,20.0,159302,512,512,25,100000,LL,19506,23,40.8793696034873,50.0,0.11791243719881062,1.2020203549561823,4.755392929963337,13.733732908725406,45.944730334360614,95.6515582796565,14.693798795281857,0.0169139,0.8802951809602172,59.456919689636656,6.044294063365118
nominal,20.0,159302,512,512,25,100000,ALL,47716,46,100.0,100.0,0.09640372202196329,2.0547135930944127,6.354605557673069,19.001104534316323,44.87344887481462,155.89451023348107,15.51743658525178,0.0832153,1.2345589869456997,20.59103026640241,9.206555453097494
nominal,20.0,167029,512,512,25,100000,BW,1144,7,2.430835918575496,13.72549019607843,0.6118881118881119,1.6039191735724576,5.0905387273690295,13.849934458715387,39.002044840771454,224.9205691405185,18.156778152696507,0.031046650000000002,0.5654465909632866,42.889145226717574,4.895104895104895
nominal,20.0,167029,512,512,25,100000,BH,26944,24,57.252135480855046,47.05882352941177,0.08907363420427554,3.059693339455103,7.527638140054502,21.60442777631077,44.1553404833433,395.7303778269562,18.50346249335496,0.243736,1.5069612632113643,11.353174115657897,11.624109263657957
nominal,20.0,167029,512,512,25,100000,LL,18974,20,40.317028600569465,39.21568627450981,0.10540739959945188,1.1894656825902583,4.744746986865597,13.881071895259673,43.85735385004648,105.28277919941806,15.368725263317305,0.0161801,0.8208468813313482,58.94774756187038,6.356066195846949
nominal,20.0,167029,512,512,25,100000,ALL,47062,51,100.0,100.0,0.10836768518125027,2.0458872060709967,6.346417230005664,19.187116097485458,43.92569475682608,395.7303778269562,16.15327927422283,0.08469325,1.2074536548045134,21.03261782528424,9.336619778164975
nominal,20.0,167815,512,512,25,100000,BW,1130,5,2.3740493298037735,9.433962264150944,0.4424778761061947,1.5702251252713577,4.808837682856809,13.73137622763584,39.08903518206413,63.11767094080388,21.25229490024349,0.02945395,0.6918821129964602,36.49563597508071,5.398230088495575
nominal,20.0,167815,512,512,25,100000,BH,27032,22,56.792302197571324,41.509433962264154,0.08138502515537141,3.0930861975113735,7.559379657367548,21.863521176389327,43.37816172869311,74.33986696866718,17.49317270032557,0.24568649999999997,1.5215890026485275,11.14264180465734,11.704646345072508
nominal,20.0,167815,512,512,25,100000,LL,19436,26,40.8336484726249,49.056603773584904,0.13377238114838444,1.2027731719899981,4.777638279163021,13.963849103715608,46.14486588625867,93.80447173403921,15.230808879482947,0.01661005,0.9232770100346264,60.48739622797151,6.225560814982507
nominal,20.0,167815,512,512,25,100000,ALL,47598,53,100.0,100.0,0.11134921635362831,2.022611129694821,6.358193938262117,19.17655903838352,43.93015289085656,93.80447173403921,16.104376973057704,0.0844972,1.257578735961889,20.58092035177515,9.3176183873272
tuned,2.0,100805,512,512,64,4471286,BW,2540,14,2.1868273783900127,12.727272727272727,0.5511811023622047,1.4301258769913703,4.8085879250393795,14.199687582800934,35.45053643141144,62.69603536590257,20.18368051861995,0.02679405,0.5988923604362205,44.172130174396045,6.062992125984252
tuned,2.0,100805,512,512,64,4471286,BH,60290,48,51.90701678863539,43.63636363636363,0.07961519323270858,3.327580214206853,7.982621729301511,23.02839784080176,45.57982978796743,187.64923802704993,15.385909467364623,0.25381549999999997,1.597806249167706,11.271395266548856,12.826339359761155
tuned,2.0,100805,512,512,64,4471286,LL,53320,48,45.906155832974605,43.63636363636363,0.0900225056264066,1.291165389868123,5.245828524683482,15.49621363853975,48.48599759448026,98.14290712033832,13.863082697974164,0.019873349999999998,0.9242865926972244,54.01616226493388,7.3218304576144035
tuned,2.0,100805,512,512,64,4471286,ALL,116150,110,100.0,100.0,0.09470512268618166,2.123653995203827,6.65685453573234,20.205470959316433,46.62214500328955,187.64923802704993,15.385909467364623,0.0796,1.266774743697331,21.56225768073572,10.15152819629789
tuned,2.0,105469,512,512,64,4471286,BW,2618,9,2.2924693520140105,8.823529411764707,0.3437738731856379,1.5101090167266902,4.799253046268215,13.738147886047168,41.48301902230084,130.1870683864187,21.01387711496635,0.02642675,0.6652674152284186,43.52323897304041,5.233002291825821
